gene.ID,Base.Mean,log2.FC.,StdErr,Wald.Stats,P.value,P.adj,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V16
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1100605,1100606,TSS_00979,178,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,9710
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1095549,1095550,TSS_00962,1403,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,4654
vnz_05270,91.859618,-2.5109989,0.4439313,-5.6562786,1.55e-08,2.23e-07,CP018074.1,1234606,1234607,TSS_01256,68,+,CP018074.1,Genbank,gene,1234125,1235411,.,-,.,1
vnz_06205,787.13759,6.572727,0.4714689,13.940957,3.57e-44,2.32e-41,CP018074.1,1433995,1433996,TSS_01936,1139,+,CP018074.1,Genbank,gene,1434244,1435134,.,-,.,248
vnz_06305,60.71725,3.7490501,0.7330561,5.1142745,3.15e-07,3.65e-06,CP018074.1,1452036,1452037,TSS_01963,84,+,CP018074.1,Genbank,gene,1453382,1454311,.,-,.,1345
vnz_06305,60.71725,3.7490501,0.7330561,5.1142745,3.15e-07,3.65e-06,CP018074.1,1454012,1454013,TSS_01965,33,+,CP018074.1,Genbank,gene,1453382,1454311,.,-,.,1
vnz_06305,60.71725,3.7490501,0.7330561,5.1142745,3.15e-07,3.65e-06,CP018074.1,1452620,1452621,TSS_01964,82,+,CP018074.1,Genbank,gene,1453382,1454311,.,-,.,761
vnz_06305,60.71725,3.7490501,0.7330561,5.1142745,3.15e-07,3.65e-06,CP018074.1,1454248,1454249,TSS_01966,39,+,CP018074.1,Genbank,gene,1453382,1454311,.,-,.,1
vnz_06580,83.843317,2.4132575,0.4258304,5.6671806,1.45e-08,2.11e-07,CP018074.1,1511622,1511623,TSS_02018,180,-,CP018074.1,Genbank,gene,1510114,1511232,.,+,.,391
vnz_06785,128.65853,5.5549221,0.5420005,10.248925,1.2e-24,1.44e-22,CP018074.1,1561957,1561958,TSS_02048,59,-,CP018074.1,Genbank,gene,1557642,1558424,.,+,.,3534
vnz_06785,128.65853,5.5549221,0.5420005,10.248925,1.2e-24,1.44e-22,CP018074.1,1560548,1560549,TSS_02047,365,-,CP018074.1,Genbank,gene,1557642,1558424,.,+,.,2125
vnz_07145,1433.5743,4.1466459,0.5403249,7.6743562,1.66e-14,5.58e-13,CP018074.1,1636034,1636035,TSS_02263,33,+,CP018074.1,Genbank,gene,1640583,1640858,.,-,.,4548
vnz_07145,1433.5743,4.1466459,0.5403249,7.6743562,1.66e-14,5.58e-13,CP018074.1,1639202,1639203,TSS_02269,216,+,CP018074.1,Genbank,gene,1640583,1640858,.,-,.,1380
vnz_07255,128.01688,4.5822059,0.8707634,5.2622855,1.42e-07,1.77e-06,CP018074.1,1657744,1657745,TSS_02296,2348,+,CP018074.1,Genbank,gene,1661464,1662051,.,-,.,3719
vnz_07255,128.01688,4.5822059,0.8707634,5.2622855,1.42e-07,1.77e-06,CP018074.1,1658056,1658057,TSS_02298,124,+,CP018074.1,Genbank,gene,1661464,1662051,.,-,.,3407
vnz_07255,128.01688,4.5822059,0.8707634,5.2622855,1.42e-07,1.77e-06,CP018074.1,1658909,1658910,TSS_02299,37,+,CP018074.1,Genbank,gene,1661464,1662051,.,-,.,2554
vnz_07255,128.01688,4.5822059,0.8707634,5.2622855,1.42e-07,1.77e-06,CP018074.1,1656693,1656694,TSS_02294,127,+,CP018074.1,Genbank,gene,1661464,1662051,.,-,.,4770
vnz_07930,185.35914,5.8711415,0.5801707,10.119679,4.52e-24,4.98e-22,CP018074.1,1804976,1804977,TSS_02590,31,+,CP018074.1,Genbank,gene,1807521,1808318,.,-,.,2544
vnz_07930,185.35914,5.8711415,0.5801707,10.119679,4.52e-24,4.98e-22,CP018074.1,1806253,1806254,TSS_02591,282,+,CP018074.1,Genbank,gene,1807521,1808318,.,-,.,1267
vnz_08075,120.27846,5.1703853,0.629769,8.2099712,2.21e-16,9.17e-15,CP018074.1,1842053,1842054,TSS_02649,113,+,CP018074.1,Genbank,gene,1843710,1845122,.,-,.,1656
vnz_08875,539.77033,5.4952653,0.5695865,9.6478149,5.02e-22,4.08e-20,CP018074.1,2019360,2019361,TSS_02922,561,+,CP018074.1,Genbank,gene,2019943,2021199,.,-,.,582
vnz_08875,539.77033,5.4952653,0.5695865,9.6478149,5.02e-22,4.08e-20,CP018074.1,2019010,2019011,TSS_02917,57,+,CP018074.1,Genbank,gene,2019943,2021199,.,-,.,932
vnz_08875,539.77033,5.4952653,0.5695865,9.6478149,5.02e-22,4.08e-20,CP018074.1,2018896,2018897,TSS_02915,36,+,CP018074.1,Genbank,gene,2019943,2021199,.,-,.,1046
vnz_08960,55.020127,4.2736288,0.7173931,5.9571648,2.57e-09,4.13e-08,CP018074.1,2041378,2041379,TSS_02973,1733,-,CP018074.1,Genbank,gene,2040001,2041077,.,+,.,302
vnz_09020,589.63795,4.3344993,0.3743904,11.577486,5.36e-31,1.16e-28,CP018074.1,2053252,2053253,TSS_02989,159,+,CP018074.1,Genbank,gene,2052497,2054581,.,-,.,1
vnz_09100,231.67186,2.6302956,0.4023211,6.5378012,6.24e-11,1.31e-09,CP018074.1,2071313,2071314,TSS_03035,93,+,CP018074.1,Genbank,gene,2072844,2074382,.,-,.,1530
vnz_09140,106.18035,3.0316928,0.4780145,6.3422617,2.26e-10,4.35e-09,CP018074.1,2082632,2082633,TSS_03064,33,-,CP018074.1,Genbank,gene,2080900,2082093,.,+,.,540
vnz_09140,106.18035,3.0316928,0.4780145,6.3422617,2.26e-10,4.35e-09,CP018074.1,2082515,2082516,TSS_03062,1016,-,CP018074.1,Genbank,gene,2080900,2082093,.,+,.,423
vnz_09240,57.7531,-2.480311,0.4741174,-5.2314274,1.68e-07,2.04e-06,CP018074.1,2102219,2102220,TSS_03077,418,-,CP018074.1,Genbank,gene,2101141,2101875,.,+,.,345
vnz_09255,261.36114,4.6013604,0.433592,10.61219,2.62e-26,3.34e-24,CP018074.1,2107360,2107361,TSS_03082,35,+,CP018074.1,Genbank,gene,2102767,2108055,.,-,.,1
vnz_09255,261.36114,4.6013604,0.433592,10.61219,2.62e-26,3.34e-24,CP018074.1,2104434,2104435,TSS_03079,31,+,CP018074.1,Genbank,gene,2102767,2108055,.,-,.,1
vnz_09260,89.610511,2.7773097,0.4406257,6.303104,2.92e-10,5.47e-09,CP018074.1,2107360,2107361,TSS_03082,35,+,CP018074.1,Genbank,gene,2108135,2109850,.,-,.,774
vnz_09260,89.610511,2.7773097,0.4406257,6.303104,2.92e-10,5.47e-09,CP018074.1,2104434,2104435,TSS_03079,31,+,CP018074.1,Genbank,gene,2108135,2109850,.,-,.,3700
vnz_09460,2694.5888,3.2864587,0.5860516,5.6077977,2.05e-08,2.91e-07,CP018074.1,2154577,2154578,TSS_03143,36,-,CP018074.1,Genbank,gene,2151181,2151600,.,+,.,2978
vnz_09560,618.38771,2.0367154,0.4018896,5.0678476,4.02e-07,4.58e-06,CP018074.1,2174734,2174735,TSS_03175,733,-,CP018074.1,Genbank,gene,2173356,2174006,.,+,.,729
vnz_09935,154.46576,6.3368393,0.7718084,8.2103791,2.2e-16,9.17e-15,CP018074.1,2243412,2243413,TSS_03297,117,+,CP018074.1,Genbank,gene,2245722,2246273,.,-,.,2309
vnz_09935,154.46576,6.3368393,0.7718084,8.2103791,2.2e-16,9.17e-15,CP018074.1,2243310,2243311,TSS_03294,372,+,CP018074.1,Genbank,gene,2245722,2246273,.,-,.,2411
vnz_09935,154.46576,6.3368393,0.7718084,8.2103791,2.2e-16,9.17e-15,CP018074.1,2243442,2243443,TSS_03301,95,+,CP018074.1,Genbank,gene,2245722,2246273,.,-,.,2279
vnz_09935,154.46576,6.3368393,0.7718084,8.2103791,2.2e-16,9.17e-15,CP018074.1,2243428,2243429,TSS_03298,418,+,CP018074.1,Genbank,gene,2245722,2246273,.,-,.,2293
vnz_10050,76.345473,4.6716207,0.8616173,5.4219205,5.9e-08,7.83e-07,CP018074.1,2270243,2270244,TSS_03331,47,+,CP018074.1,Genbank,gene,2269011,2271083,.,-,.,1
vnz_10810,116.43287,2.4941171,0.4030248,6.1884955,6.07e-10,1.07e-08,CP018074.1,2381892,2381893,TSS_03484,100,+,CP018074.1,Genbank,gene,2383830,2384324,.,-,.,1937
vnz_10810,116.43287,2.4941171,0.4030248,6.1884955,6.07e-10,1.07e-08,CP018074.1,2381026,2381027,TSS_03483,63,+,CP018074.1,Genbank,gene,2383830,2384324,.,-,.,2803
vnz_10810,116.43287,2.4941171,0.4030248,6.1884955,6.07e-10,1.07e-08,CP018074.1,2382093,2382094,TSS_03491,853,+,CP018074.1,Genbank,gene,2383830,2384324,.,-,.,1736
vnz_10810,116.43287,2.4941171,0.4030248,6.1884955,6.07e-10,1.07e-08,CP018074.1,2380046,2380047,TSS_03480,3699,+,CP018074.1,Genbank,gene,2383830,2384324,.,-,.,3783
vnz_11270,64.336709,-5.4697018,0.8754152,-6.2481228,4.15e-10,7.53e-09,CP018074.1,2487764,2487765,TSS_03709,1612,+,CP018074.1,Genbank,gene,2487961,2488266,.,-,.,196
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2610158,2610159,TSS_03883,276,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,4875
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2606685,2606686,TSS_03865,4328,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,1402
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2608075,2608076,TSS_03875,92,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,2792
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2609866,2609867,TSS_03881,17966,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,4583
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2606969,2606970,TSS_03868,52,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,1686
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2609839,2609840,TSS_03879,110,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,4556
vnz_11750,92.852635,-2.1003863,0.3501086,-5.9992428,1.98e-09,3.26e-08,CP018074.1,2608193,2608194,TSS_03876,189,-,CP018074.1,Genbank,gene,2604322,2605284,.,+,.,2910
vnz_12665,120.10415,6.7654886,0.8352725,8.0997385,5.51e-16,2.15e-14,CP018074.1,2820217,2820218,TSS_04234,41,-,CP018074.1,Genbank,gene,2820028,2821710,.,+,.,1
vnz_12665,120.10415,6.7654886,0.8352725,8.0997385,5.51e-16,2.15e-14,CP018074.1,2820137,2820138,TSS_04232,56,-,CP018074.1,Genbank,gene,2820028,2821710,.,+,.,1
vnz_12675,266.31161,7.4039075,0.7504404,9.8660832,5.84e-23,5.21e-21,CP018074.1,2829322,2829323,TSS_04241,157,-,CP018074.1,Genbank,gene,2823453,2825102,.,+,.,4221
vnz_12755,195.52343,6.5157286,1.0838947,6.0114039,1.84e-09,3.04e-08,CP018074.1,2839346,2839347,TSS_04251,864,+,CP018074.1,Genbank,gene,2840121,2841371,.,-,.,774
vnz_13030,229.67661,8.3297427,0.918553,9.0683309,1.21e-19,7.49e-18,CP018074.1,2896610,2896611,TSS_04331,40,-,CP018074.1,Genbank,gene,2896060,2897358,.,+,.,1
vnz_13040,57.332694,2.7031648,0.4707682,5.7420289,9.35e-09,1.4e-07,CP018074.1,2895954,2895955,TSS_04327,89,+,CP018074.1,Genbank,gene,2898990,2899742,.,-,.,3035
vnz_13130,139.58825,5.9758797,0.7933101,7.5328416,4.96e-14,1.59e-12,CP018074.1,2915864,2915865,TSS_04365,73,+,CP018074.1,Genbank,gene,2915576,2916355,.,-,.,1
vnz_13130,139.58825,5.9758797,0.7933101,7.5328416,4.96e-14,1.59e-12,CP018074.1,2915211,2915212,TSS_04362,1433,+,CP018074.1,Genbank,gene,2915576,2916355,.,-,.,364
vnz_13130,139.58825,5.9758797,0.7933101,7.5328416,4.96e-14,1.59e-12,CP018074.1,2915191,2915192,TSS_04361,2777,+,CP018074.1,Genbank,gene,2915576,2916355,.,-,.,384
vnz_13675,158.78435,6.0980981,0.6378091,9.5610082,1.17e-21,8.98e-20,CP018074.1,3054049,3054050,TSS_04809,102,+,CP018074.1,Genbank,gene,3053600,3055108,.,-,.,1
vnz_13675,158.78435,6.0980981,0.6378091,9.5610082,1.17e-21,8.98e-20,CP018074.1,3054043,3054044,TSS_04808,157,+,CP018074.1,Genbank,gene,3053600,3055108,.,-,.,1
vnz_13705,102.90624,6.1315631,0.7185987,8.5326668,1.43e-17,7.16e-16,CP018074.1,3064702,3064703,TSS_04818,69,-,CP018074.1,Genbank,gene,3062620,3064002,.,+,.,701
vnz_13705,102.90624,6.1315631,0.7185987,8.5326668,1.43e-17,7.16e-16,CP018074.1,3064630,3064631,TSS_04817,55,-,CP018074.1,Genbank,gene,3062620,3064002,.,+,.,629
vnz_13730,293.5355,5.50192,0.4504723,12.213669,2.63e-34,7.43e-32,CP018074.1,3067366,3067367,TSS_04827,200,+,CP018074.1,Genbank,gene,3068781,3069719,.,-,.,1414
vnz_13745,186.00715,-3.085512,0.3447099,-8.9510399,3.52e-19,2.05e-17,CP018074.1,3072725,3072726,TSS_04832,56,+,CP018074.1,Genbank,gene,3071643,3072761,.,-,.,1
vnz_13765,282.38665,-2.041451,0.2976574,-6.8583913,6.96e-12,1.7e-10,CP018074.1,3082569,3082570,TSS_04846,649,-,CP018074.1,Genbank,gene,3075964,3077484,.,+,.,5086
vnz_13765,282.38665,-2.041451,0.2976574,-6.8583913,6.96e-12,1.7e-10,CP018074.1,3082828,3082829,TSS_04848,172,-,CP018074.1,Genbank,gene,3075964,3077484,.,+,.,5345
vnz_13855,119.08683,-4.6406812,0.3783308,-12.2662,1.38e-34,4.07e-32,CP018074.1,3097377,3097378,TSS_04860,1537,+,CP018074.1,Genbank,gene,3096337,3097551,.,-,.,1
vnz_13860,100.12329,-5.928629,0.5198851,-11.403729,4.01e-30,8.15e-28,CP018074.1,3097377,3097378,TSS_04860,1537,+,CP018074.1,Genbank,gene,3097611,3098948,.,-,.,233
vnz_14255,155.50852,3.8573832,0.4671858,8.2566364,1.5e-16,6.41e-15,CP018074.1,3158987,3158988,TSS_05028,121,+,CP018074.1,Genbank,gene,3160454,3161176,.,-,.,1466
vnz_14535,72.92782,-2.0128104,0.3876435,-5.1924262,2.08e-07,2.46e-06,CP018074.1,3234064,3234065,TSS_05112,391,-,CP018074.1,Genbank,gene,3231398,3233110,.,+,.,955
vnz_14710,56.617339,-2.2417776,0.5837213,-3.8404932,0.0001228,0.0008848,CP018074.1,3274415,3274416,TSS_05220,41,-,CP018074.1,Genbank,gene,3272158,3272775,.,+,.,1641
vnz_14710,56.617339,-2.2417776,0.5837213,-3.8404932,0.0001228,0.0008848,CP018074.1,3273331,3273332,TSS_05218,47,-,CP018074.1,Genbank,gene,3272158,3272775,.,+,.,557
vnz_14760,194.073,2.5702999,0.4597527,5.5906142,2.26e-08,3.18e-07,CP018074.1,3285788,3285789,TSS_05228,1534,-,CP018074.1,Genbank,gene,3281938,3285240,.,+,.,549
vnz_14925,524.5593,2.7482516,0.3815858,7.2021846,5.93e-13,1.74e-11,CP018074.1,3333918,3333919,TSS_05339,69,-,CP018074.1,Genbank,gene,3323052,3323618,.,+,.,10301
vnz_14925,524.5593,2.7482516,0.3815858,7.2021846,5.93e-13,1.74e-11,CP018074.1,3325124,3325125,TSS_05326,33,-,CP018074.1,Genbank,gene,3323052,3323618,.,+,.,1507
